xl_file,property_name,unit_type,excluded_units,rentable_units,avg_scheduled_charges,current_occupied,prior_total_new,current_total_new,prior_renewal,current_renewal,prior_total_leases,current_total_leases,prior_pre_lease_pct,current_pre_lease_pct,yoy_variance_pct,projected_availability
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,501 S. 6Th,C2,0,12,960.4166666666666,3,12,9,0,3,12,12,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,501 S. 6Th,D1,0,16,706.875,13,16,3,0,13,16,16,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,501 S. 6Th,D2,0,16,720,8,5,8,11,8,16,16,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,501 S. 6Th,D3 Townhome,0,4,825,0,1,4,2,0,3,4,0.75,1,0.25,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,501 S. 6Th,E1 Townhome,0,20,791.5,12,17,8,3,12,20,20,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,501 S. 6Th,E2 Townhome,0,20,815,14,11,6,8,14,19,20,0.95,1,0.050000000000000044,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,501 S. 6Th,Not Selected,0,0,920,0,0,1,0,0,0,1,0,0,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,908 S. 1St,A1,0,16,1380,4,11,12,4,4,15,16,0.9375,1,0.0625,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,908 S. 1St,B1,0,8,874.375,2,8,6,0,2,8,8,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,908 S. 1St,B2,0,16,892.1875,6,14,10,2,6,16,16,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,908 S. 1St,B3,0,8,970,2,8,6,0,2,8,8,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,908 S. 1St,D1,0,16,853.75,10,13,6,0,10,13,16,0.8125,1,0.1875,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,908 S. 1St,M1 Murphy,0,12,1071.6666666666667,4,10,7,2,5,12,12,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,908 S. 1St,M1 Murphy Balcony,0,16,1117.8125,5,10,11,6,5,16,16,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,908 S. 1St,M2 Murphy,0,4,1125,0,3,4,2,0,5,4,1.25,1,-0.25,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy 65,A1,0,10,1857.244,5,2,4,7,6,9,10,0.9,1,0.09999999999999998,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy 65,B1,0,21,1023.4171428571428,8,18,13,4,8,22,21,1.0476190476190477,1,-0.04761904761904767,0
