report_date,property_id,property_name,unit_type,avg_sqft,avg_advertised_rate,total_unit_count,excluded_unit_count,rentable_unit_count,occupied_count,available_count,total_scheduled_rent,yoy_variance,avg_scheduled_rent,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent
2025-02-12,577897,Station Nine,b7hc TF Side by Side,1611,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-12,577897,Station Nine,b8 Side by Side,1535,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-12,577897,Station Nine,b8 TF Side by Side,1535,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,Studio,434,0,20,0,20,20,20,0,0,0,0,0,0,1,0,1,0.05,0,0,0,0,0,0,0,2,0,0,0,2,0,0,7,3,7,9,14,12,0.6,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,A1,616.8709677419355,0,31,0,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03225806451612903,12,5,14,24,26,29,0.9354838709677419,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,A2,538,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,2,1,0.3333333333333333,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,B1,403.5,0,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,11,26,33,22,44,48,1,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,B2,375,0,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,6,8,10,1,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,B3,393,0,10,0,10,9,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.1,0,0,0,0,0,0,0,3,6,1,2,4,8,0.8,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,C1,346,0,18,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,8,15,18,18,1,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,D1,340,0,228,0,228,223,228,0,0,0,0,2,0,1,0,3,0.013157894736842105,8,0,0,0,8,0,0,2,0,0,0,2,0,0,91,131,102,82,193,213,0.9342105263157895,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,D2,351,0,140,0,140,140,140,0,0,0,0,0,0,1,0,1,0.007142857142857143,5,0,0,0,5,0,0,0,0,0,0,0,0,0,40,80,87,53,127,133,0.95,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,D3,353,0,16,0,16,16,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,9,9,6,13,15,0.9375,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,D4,364,0,40,0,40,40,40,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,2,0.05,0,0,0,0,0,0,0,12,9,21,12,33,21,0.525,0,0,0,0,0,0,0,0
2025-02-12,518041,The Academy at Frisco,D5,335,0,76,0,76,76,76,0,0,0,0,0,0,1,0,1,0.013157894736842105,9,0,0,0,9,0,0,0,0,0,0,0,0,0,30,40,29,23,59,63,0.8289473684210527,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,A1,441,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,A2,667,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,B1,305.4,0,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,3,2,10,10,1,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,B2,331.5,0,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,8,1,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,B3,327,0,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,4,6,6,1,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,B4,335.75,0,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,2,7,2,0.25,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,B5,365.5,0,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,3,8,5,0.625,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,B6,447,0,10,0,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,5,9,9,0.9,0,0,0,0,0,0,0,0
